"","KID","MID"
"1147",1866034,1866172
"1148",1867033,1867003
"1149",1867034,1867003
"1150",1877176,1877174
"1151",1878033,1878172
"1152",1878034,1878172
"1153",1879032,1879170
"1154",1879033,1879170
"1155",1887037,1887005
"1156",1893034,1893173
"1157",1893035,1893173
"1158",1893036,1893174
"1159",1893037,1893174
"1160",1893038,1893005
"1161",1897030,1897003
"1162",1898030,1898003
"1163",1901031,1901030
"1164",1901172,1901030
"1165",1905031,1905172
"1166",1905032,1905172
"1167",1905033,1905173
"1168",1906031,1906030
"1169",1908032,1908004
"1170",1908033,1908004
"1171",1909030,1909173
"1172",1909031,1909173
"1173",1911033,1911006
"1174",1911034,1911030
"1175",1911035,1911006
"1176",1914032,1914003
"1177",1914033,1914173
"1178",1915030,1915171
"1179",1915031,1915171
"1180",1915032,1915005
"1181",1917030,1917004
"1182",1917031,1917172
"1183",1917032,1917005
"1184",1917033,1917172
"1185",1917034,1917005
"1186",1918033,1918004
"1187",1919037,1919172
"1188",1919038,1919172
"1189",1919040,1919170
"1190",1919041,1919173
"1191",1919043,1919175
"1192",1919044,1919009
"1193",1919045,1919175
"1194",1919046,1919009
"1195",1920032,1920003
"1196",1920033,1920003
"1197",1925031,1925170
"1198",1926031,1926003
"1199",1926032,1926004
"1200",1926033,1926003
"1201",1928030,1928171
"1202",1930034,1930005
"1203",1930035,1930005
"1204",1932035,1932173
"1205",1935172,1935004
"1206",1935173,1935004
"1207",1945032,1945179
"1208",1947030,1947003
"1209",1947031,1947171
"1210",1947032,1947171
"1211",1954030,1954170
"1212",1954031,1954170
"1213",1954033,1954172
"1214",1954171,1954172
"1215",1955030,1955170
"1216",1956030,1956004
"1217",1959031,1959170
"1218",1959032,1959171
"1219",1960032,1960171
"1220",1960178,1960177
"1221",1960179,1960177
"1222",1962030,1962176
"1223",1962031,1962176
"1224",1965031,1965005
"1225",1969032,1969030
"1226",1969033,1969030
"1227",1970032,1970005
"1228",1971033,1971173
"1229",1975032,1975004
"1230",1975033,1975004
"1231",1978031,1978171
"1232",1985030,1985172
"1233",1994177,1994176
"1234",1994178,1994176
"1235",2004035,2004005
"1236",2004036,2004005
"1237",2006177,2006174
"1238",2006178,2006174
"1239",2011033,2011174
"1240",2011034,2011005
"1241",2011035,2011005
"1242",2012032,2012003
"1243",2012033,2012003
"1244",2012034,2012031
"1245",2013174,2013173
"1246",2016031,2016004
"1247",2016032,2016006
"1248",2016033,2016006
"1249",2017032,2017172
"1250",2019031,2019004
"1251",2019032,2019175
"1252",2022030,2022170
"1253",2022031,2022170
"1254",2028032,2028030
"1255",2030037,2030004
"1256",2030038,2030174
"1257",2030039,2030006
"1258",2030040,2030006
"1259",2030041,2030175
"1260",2032035,2032172
"1261",2032037,2032170
"1262",2032040,2032031
"1263",2032041,2032031
"1264",2034031,2034004
"1265",2034033,2034004
"1266",2034034,2034030
"1267",2047030,2047005
"1268",2047031,2047005
"1269",2050031,2050172
"1270",2050032,2050172
"1271",2051034,2051031
"1272",2051035,2051031
"1273",2053031,2053172
"1274",2053032,2053004
"1275",2053033,2053004
"1276",2054030,2054003
"1277",2054031,2054003
"1278",2055030,2055003
"1279",2055031,2055005
"1280",2055032,2055003
"1281",2055033,2055005
"1282",2055034,2055181
"1283",2056034,2056002
"1284",2059033,2059176
"1285",2060030,2060003
"1286",2061031,2061007
"1287",2061032,2061181
"1288",2061183,2061181
"1289",2067036,2067188
"1290",2067037,2067188
"1291",2067038,2067189
"1292",2073033,2073002
"1293",2073034,2073031
"1294",2075177,2075004
"1295",2080031,2080170
"1296",2080032,2080170
"1297",2083030,2083171
"1298",2083031,2083174
"1299",2083172,2083175
"1300",2083173,2083174
"1301",2086031,2086004
"1302",2086033,2086004
"1303",2088031,2088004
"1304",2095032,2095177
"1305",2095033,2095177
"1306",2106031,2106171
"1307",2106032,2106171
"1308",2106033,2106173
"1309",2108031,2108003
"1310",2108032,2108003
"1311",2108033,2108005
"1312",2108034,2108005
"1313",2108178,2108177
"1314",2108179,2108177
"1315",2109030,2109002
"1316",2109031,2109002
"1317",2117030,2117003
"1318",2117031,2117003
"1319",2117032,2117006
"1320",2117033,2117006
"1321",2125030,2125004
"1322",2125031,2125006
"1323",2125032,2125004
"1324",2125034,2125006
"1325",2126032,2126170
"1326",2127030,2127005
"1327",2127031,2127005
"1328",2128032,2128030
"1329",2128033,2128030
"1330",2129032,2129175
"1331",2129033,2129181
"1332",2129035,2129003
"1333",2129036,2129181
"1334",2129190,2129189
"1335",2137034,2137174
"1336",2138033,2138030
"1337",2138176,2138175
"1338",2143031,2143003
"1339",2143032,2143003
"1340",2150031,2150172
"1341",2151038,2151005
"1342",2151039,2151003
"1343",2151040,2151177
"1344",2151041,2151177
"1345",2164039,2164003
"1346",2164041,2164030
