"","ID","Race"
"531",311001,1
"532",5463007,2
"533",568002,2
"534",5744170,2
"535",120001,1
"536",6834002,2
"537",5448001,2
"538",385001,1
"539",48001,1
"540",49001,1
"541",5202001,1
"542",635001,1
"543",5710001,1
"544",1992001,1
"545",5266001,2
"546",793001,1
"547",2159001,1
"548",526170,1
"549",1595001,1
"550",974001,1
"551",5728001,2
"552",72001,1
"553",325001,1
"554",2847001,2
"555",2813001,1
"556",6771001,1
"557",6054178,2
"558",1316001,1
"559",6079170,2
"560",5485002,2
"561",2875002,2
"562",2795001,2
"563",706002,1
"564",571001,1
"565",33001,1
"566",2454001,1
"567",5158001,2
"568",889001,1
"569",5605177,1
"570",6771002,1
"571",1452001,1
"572",2024001,1
"573",557001,1
"574",5826002,2
"575",124001,1
"576",1293001,1
"577",6737173,2
"578",1693001,1
"579",653001,1
"580",5038001,2
"581",199001,1
"582",5679001,2
"583",216001,1
"584",803170,1
"585",806002,2
"586",337001,1
"587",338001,1
"588",6515001,2
"589",2200002,1
"590",6531001,2
"591",833173,1
"592",1309001,1
"593",5007001,7
"594",299001,1
"595",6686001,2
"596",5266170,2
"597",1150001,1
"598",2776171,1
"599",1449001,1
"600",1008001,1
"601",1278002,2
"602",867001,1
"603",2793001,1
"604",1647001,1
"605",2772001,1
"606",1002001,1
"607",2322001,1
"608",644003,1
"609",1735001,1
"610",5193001,1
"611",300170,1
"612",5617171,1
"613",6639003,2
"614",5690171,1
"615",35001,1
"616",1638171,1
"617",818001,1
"618",2446001,1
"619",187001,1
"620",563177,1
"621",5725001,3
"622",6142001,2
"623",5423170,2
"624",5812185,2
"625",5460171,2
"626",2588001,2
"627",1637001,1
"628",1446001,1
"629",2537001,1
"630",1039001,1
"631",551170,1
"632",1747001,1
"633",2701193,2
"634",5138001,1
"635",6089001,2
"636",5029001,2
"637",6642001,1
"638",6184001,2
"639",118001,1
"640",241001,2
"641",562001,1
"642",1102170,1
"643",163001,1
"644",5743170,1
"645",2549001,1
"646",6798003,2
"647",5581001,1
"648",5554170,2
"649",5330002,1
"650",2236001,1
"651",5715001,2
"652",6584003,2
"653",5950170,1
"654",1264001,1
"655",5324175,1
"656",1601001,1
"657",2158001,1
"658",6085001,1
"659",1372001,1
"660",2018001,1
"661",1942021,1
"662",45175,1
"663",6806171,1
"664",5556002,2
"665",5457001,2
"666",763003,1
"667",6579003,2
"668",5042170,2
"669",259020,1
"670",9001,1
"671",2655171,1
"672",6110021,2
"673",6172001,2
"674",106005,2
"675",5124170,1
"676",5954172,2
"677",5032170,1
"678",6618001,1
