"","KID","year","tau_m","tau_f","tau_both","tau_m2","tau_f2"
"5114",6583052,1997,36.0833333333333,16.25,52.3333333333333,36.0833333333333,16.25
"5115",6583052,2002,8.66666666666667,6.25,11.1666666666667,4.91666666666667,1.25
"5116",6583200,1997,22.1666666666667,18.8333333333333,22.1666666666667,22.1666666666667,18.8333333333333
"5117",6583200,2002,30.5333333333333,14.7,30.5333333333333,19.7,14.7
"5118",6588040,1997,26.6666666666667,0,26.6666666666667,22.6666666666667,0
"5119",6588040,2002,14.5,0,14.5,10,0
"5120",6588041,1997,52,0,52,40.25,0
"5121",6588041,2002,31.0833333333333,0,31.0833333333333,24.75,0
"5122",6588042,1997,64.5,0,64.5,43.75,0
"5123",6588042,2002,17.7666666666667,13.2666666666667,18.7666666666667,14.7666666666667,13.2666666666667
"5124",6589034,1997,13.8333333333333,0,13.8333333333333,10.8333333333333,0
"5125",6589035,1997,17.8333333333333,0,17.8333333333333,13.8333333333333,0
"5126",6589035,2002,27.5,0,27.5,12.5,0
"5127",6590039,1997,1,0.333333333333333,1,1,0.333333333333333
"5128",6590039,2002,34.75,13,34.75,14.25,13
"5129",6590040,2002,4.5,4.5,4.5,4.5,4.5
"5130",6590041,1997,3.83333333333333,0,3.83333333333333,3.83333333333333,0
"5131",6590041,2002,5.33333333333333,5.33333333333333,5.33333333333333,5.33333333333333,5.33333333333333
"5132",6590045,1997,14.5,0,14.5,13,0
"5133",6590045,2002,19,0,19,10.1666666666667,0
"5134",6590046,2002,45.5833333333333,0,45.5833333333333,34.0833333333333,0
"5135",6590047,1997,27.8333333333333,0,27.8333333333333,25.3333333333333,0
"5136",6590047,2002,11,0,11,9,0
"5137",6591036,1997,23.4166666666667,10.4166666666667,27.5833333333333,20.9166666666667,6.66666666666667
"5138",6591036,2002,27.3333333333333,0,27.3333333333333,27.3333333333333,0
"5139",6591038,2002,5,0,5,5,0
"5140",6598034,1997,8,0,8,8,0
"5141",6598034,2002,2.5,0,2.5,0,0
"5142",6598035,1997,20.5833333333333,0,20.5833333333333,16.0833333333333,0
"5143",6598036,1997,48,0,48,48,0
"5144",6598036,2002,0,0,0,0,0
"5145",6598037,1997,20.5833333333333,0,20.5833333333333,17.3333333333333,0
"5146",6602032,1997,0,0,0,0,0
"5147",6602034,1997,0,0,0,0,0
"5148",6602035,1997,0,0,0,0,0
"5149",6602036,1997,11.8333333333333,0,11.8333333333333,9.33333333333333,0
"5150",6602040,2002,15.4333333333333,7.36666666666667,15.7,7.1,7.36666666666667
"5151",6602041,1997,16.5,19.9166666666667,33,15.8333333333333,16.25
"5152",6602181,1997,2.91666666666667,0,2.91666666666667,2.91666666666667,0
"5153",6602192,2002,4,10.3333333333333,10.3333333333333,2.33333333333333,8.66666666666667
