"","KID","chcare","Arrange","Price","year"
"1693",2615047,0,NA,NA,1997
"1694",2615048,0,NA,NA,1997
"1695",2615049,0,NA,NA,1997
"1696",2618032,0,NA,NA,1997
"1697",2618033,0,NA,NA,1997
"1698",2618034,15,NA,NA,1997
"1699",2618035,0,NA,NA,1997
"1700",2618037,0,NA,NA,1997
"1701",2621034,0,NA,NA,1997
"1702",2628032,0,NA,NA,1997
"1703",2628034,0,NA,NA,1997
"1704",2628035,0,NA,NA,1997
"1705",2628037,0,NA,NA,1997
"1706",2629030,0,NA,NA,1997
"1707",2629031,0,NA,NA,1997
"1708",2639030,0,NA,NA,1997
"1709",2640030,0,NA,NA,1997
"1710",2642032,0,"Relative",0,1997
"1711",2642034,0,NA,NA,1997
"1712",2642035,0,NA,NA,1997
"1713",2643032,0,NA,NA,1997
"1714",2645030,0,NA,NA,1997
"1715",2646032,0,"Before/After School Prog.",0,1997
"1716",2646033,0,"Before/After School Prog.",0,1997
"1717",2647030,0,NA,NA,1997
"1718",2653030,0,NA,NA,1997
"1719",2655031,0,NA,NA,1997
"1720",2655032,0,NA,NA,1997
"1721",2655033,0,NA,NA,1997
"1722",2656033,0,NA,NA,1997
"1723",2656034,131,"Care Center",8.73333333333333,1997
"1724",2656035,25,NA,NA,1997
"1725",2656036,131,NA,NA,1997
"1726",2656037,80,NA,NA,1997
"1727",2657036,0,NA,NA,1997
"1728",2657037,6.73076923076923,NA,NA,1997
"1729",2657038,0,NA,NA,1997
"1730",2660031,0,NA,NA,1997
"1731",2660032,0,NA,NA,1997
"1732",2661040,0,NA,0,1997
"1733",2661041,0,NA,NA,1997
"1734",2661042,0,NA,NA,1997
"1735",2661043,0,NA,NA,1997
"1736",2661044,0,NA,NA,1997
"1737",2662032,0,NA,NA,1997
"1738",2672030,0,"Relative",0,1997
"1739",2672031,0,NA,NA,1997
"1740",2672032,0,NA,NA,1997
"1741",2673174,8.07692307692308,"Before/After School Prog.",1.61538461538462,1997
"1742",2678037,20,NA,3.33333333333333,1997
"1743",2678038,0,NA,NA,1997
"1744",2678040,0,NA,NA,1997
"1745",2680032,0,NA,NA,1997
"1746",2680033,0,NA,NA,1997
"1747",2680034,0,NA,NA,1997
"1748",2682032,0,NA,NA,1997
"1749",2682033,0,NA,NA,1997
"1750",2688036,35,NA,NA,1997
"1751",2701038,0,NA,NA,1997
"1752",2701043,0,NA,NA,1997
"1753",2701047,0,NA,NA,1997
"1754",2701048,0,NA,NA,1997
"1755",2701049,0,NA,NA,1997
"1756",2701050,90,NA,NA,1997
"1757",2701051,0,NA,NA,1997
"1758",2701052,0,NA,NA,1997
"1759",2701208,65,"Care Center",2.6,1997
"1760",2704185,0,NA,NA,1997
"1761",2704186,0,NA,NA,1997
"1762",2707034,0,NA,NA,1997
"1763",2707035,0,NA,NA,1997
"1764",2707037,0,NA,NA,1997
"1765",2707038,0,NA,NA,1997
"1766",2707042,0,NA,NA,1997
"1767",2707043,0,NA,NA,1997
"1768",2707044,0,NA,NA,1997
"1769",2707182,0,NA,NA,1997
"1770",2712032,60,NA,NA,1997
"1771",2714036,30,NA,NA,1997
"1772",2714183,40,NA,NA,1997
"1773",2715030,0,NA,NA,1997
"1774",2716032,0,NA,NA,1997
"1775",2716033,0,NA,NA,1997
"1776",2717033,0,"Relative",0,1997
"1777",2717034,0,NA,NA,1997
"1778",2717036,0,NA,NA,1997
"1779",2717038,95,NA,NA,1997
"1780",2722031,16,"Before/After School Prog.",10.6666666666667,1997
"1781",2726030,0,NA,NA,1997
"1782",2726031,0,NA,NA,1997
"1783",2727035,0,NA,NA,1997
"1784",2727036,0,NA,NA,1997
"1785",2727178,0,NA,NA,1997
"1786",2727179,0,NA,NA,1997
"1787",2731034,0,NA,NA,1997
"1788",2731035,0,NA,NA,1997
"1789",2731036,0,NA,NA,1997
"1790",2731037,0,NA,NA,1997
"1791",2731175,0,NA,NA,1997
"1792",2744034,35,NA,NA,1997
"1793",2750031,0,"Relative",0,1997
"1794",2750032,0,"Relative",0,1997
"1795",2752032,0,NA,NA,1997
"1796",2752033,50,NA,NA,1997
"1797",2753034,0,NA,NA,1997
"1798",2753035,32.5,NA,NA,1997
"1799",2753174,0,NA,NA,1997
"1800",2756034,55,NA,NA,1997
"1801",2756173,0,NA,NA,1997
"1802",2771033,0,NA,NA,1997
"1803",2771034,0,NA,NA,1997
"1804",2774172,0,NA,NA,1997
"1805",2776031,0,NA,NA,1997
"1806",2776032,0,NA,NA,1997
"1807",2779031,0,NA,NA,1997
"1808",2782177,0,NA,NA,1997
"1809",2783031,20,"Relative",5,1997
"1810",2786032,0,NA,NA,1997
"1811",2786033,0,NA,NA,1997
"1812",2786034,0,NA,NA,1997
"1813",2799031,0,NA,NA,1997
"1814",2799032,0,NA,NA,1997
"1815",2800035,0,NA,NA,1997
"1816",2801035,0,NA,0,1997
"1817",2801179,0,NA,0,1997
"1818",2801180,0,NA,NA,1997
"1819",2806033,0,NA,NA,1997
"1820",2807030,0,NA,NA,1997
"1821",2807031,0,NA,NA,1997
"1822",2816033,0,"Relative",0,1997
"1823",2822032,60,NA,NA,1997
"1824",2831032,0,NA,NA,1997
"1825",2831033,0,NA,NA,1997
"1826",2835030,150,NA,NA,1997
"1827",2835031,200,NA,NA,1997
"1828",2836033,0,NA,0,1997
"1829",2836035,0,"Relative",0,1997
"1830",2846176,0,NA,NA,1997
"1831",2846177,57,NA,NA,1997
"1832",2847040,0,"Relative",0,1997
"1833",2848036,0,NA,0,1997
"1834",2848037,0,NA,0,1997
"1835",2848038,0,"Relative",0,1997
"1836",2848039,0,"Relative",0,1997
"1837",2848040,17,NA,NA,1997
"1838",2848041,0,NA,NA,1997
"1839",2848042,0,NA,NA,1997
"1840",2848043,0,NA,NA,1997
"1841",2848175,0,NA,0,1997
"1842",2848179,0,NA,0,1997
"1843",2849031,0,NA,NA,1997
"1844",2849032,0,NA,NA,1997
"1845",2851031,0,NA,NA,1997
"1846",2851032,0,NA,NA,1997
"1847",2851033,0,NA,NA,1997
"1848",2851034,135,NA,NA,1997
"1849",2851035,135,NA,NA,1997
"1850",2852041,0,"Relative",0,1997
"1851",2852046,0,NA,NA,1997
"1852",2852048,18,NA,NA,1997
"1853",2852049,0,NA,NA,1997
"1854",2852050,0,NA,NA,1997
"1855",2852051,18,NA,NA,1997
"1856",2852052,0,NA,NA,1997
"1857",2852053,0,NA,NA,1997
"1858",2852054,0,NA,NA,1997
"1859",2860031,0,NA,NA,1997
"1860",2860032,0,NA,NA,1997
