ER30001,ER30002,ER33401,ER33402,ER33403,CHREL97,Q1H14,Q1H18,Q1H19,Q1H21,Q1H21A,Q1H22,Q1H22A,ER33601,ER33602,ER33603,CHREL,Q21C12,Q21C13,Q21C15A,Q21C15B,Q21H23A,Q21H23A1,Q21H23B,Q21H23B1,Q21H23C,Q21H23C1,Q21H23D,Q21H23D1,Q21H23H,Q21H23H1,ER33901,ER33902,ER33903,PCHREL07,Q31C12,Q31C13,Q31C15A,Q31C15B
2640,30,3852,3,30,2,0,0,0,0,0,0,0,3621,3,30,4,0,10,40,3,1,500,1,300,1,75,1,1000,1,1500,7938,3,30,,,,,
2642,32,2546,2,30,2,4,5,2,0,0,0,0,3344,3,33,4,0,0,0,0,1,300,5,0,1,100,1,350,1,800,1380,3,33,,,,,
2642,34,5993,3,30,2,0,0,0,0,0,0,0,7218,2,30,4,0,0,0,0,1,400,1,800,1,200,1,400,1,135,7326,2,30,3,0,0,0,0
2642,35,5993,4,30,2,0,0,0,0,0,0,0,7218,3,30,4,0,10,0,0,1,500,5,0,1,250,1,500,1,1200,7326,3,30,3,0,0,0,0
2643,32,4762,4,33,2,0,0,0,0,0,0,0,4009,4,33,4,0,0,0,0,1,1000,1,1000,1,100,1,400,1,2000,7205,3,33,,,,,
2645,30,1423,3,30,2,0,0,0,0,0,0,0,2863,3,30,4,0,0,0,0,1,500,1,100,1,100,1,500,1,2400,3902,3,30,,,,,
2646,32,235,2,30,2,8,5,15,0,0,0,0,4405,2,30,,,,,,,,,,,,,,,,7674,2,30,,,,,
2646,33,235,3,30,2,8,5,15,0,0,0,0,4405,3,30,,,,,,,,,,,,,,,,7674,51,30,,,,,
2647,30,1697,3,30,2,0,0,0,0,0,0,0,969,2,30,,,,,,,,,,,,,,,,5506,2,30,3,0,0,0,0
2653,30,1598,4,30,2,0,0,0,0,0,0,0,6523,2,30,4,0,0,0,0,1,500,5,0,1,150,5,0,1,99998,0,0,0,,,,,
2655,31,3568,3,30,2,0,0,0,0,0,0,0,7352,3,30,,,,,,,,,,,,,,,,6956,3,30,,,,,
2655,32,3568,4,30,2,0,0,0,0,0,0,0,7352,4,30,,,,,,,,,,,,,,,,6956,4,30,,,,,
2655,33,2745,3,30,2,0,0,0,0,0,0,0,2830,3,30,4,0,0,0,0,1,50,5,0,1,25,1,350,1,1200,7261,3,30,3,0,0,0,0
2656,33,1498,3,30,2,0,0,0,0,0,0,0,970,3,30,4,0,0,0,0,1,500,1,1000,1,200,1,400,1,500,3827,51,30,,,,,
2656,34,1210,3,30,2,7,5,15,131,3,1,1,1033,3,30,4,3,998,0,0,5,0,1,150,1,75,1,250,1,1300,4333,3,30,3,0,0,0,0
2656,35,1498,4,30,2,0,0,0,0,0,0,0,970,4,30,4,0,0,0,0,1,500,1,800,1,100,1,300,1,300,3827,3,30,3,0,0,0,0
2656,36,1210,4,30,2,0,0,0,0,0,0,0,1033,4,30,4,0,40,50,3,1,500,1,250,1,25,1,200,1,150,4333,4,30,3,0,0,0,0
2656,37,4396,4,30,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,,,,,
2657,36,323,3,30,2,0,0,0,0,0,0,0,6781,3,30,4,0,2,0,0,1,350,1,275,1,50,1,350,1,800,0,0,0,,,,,
2657,37,1067,3,30,2,0,0,0,0,0,0,0,2715,3,30,4,0,0,0,0,1,800,1,1800,1,40,1,500,1,1200,0,0,0,,,,,
2657,38,323,4,30,2,0,0,0,0,0,0,0,6781,4,30,4,0,0,0,0,1,99999,1,250,1,30,1,9998,1,1500,0,0,0,,,,,
2660,31,3958,3,30,2,0,0,0,0,0,0,0,2070,3,30,4,0,6,0,0,1,2000,1,500,1,75,1,1200,1,1200,6024,3,30,,,,,
2660,32,3958,4,30,2,0,0,0,0,0,0,0,2070,4,30,4,0,6,0,0,1,1500,1,400,1,120,1,1200,1,2400,6024,4,30,3,0,0,0,0
