"","KID","year","Toys","Vacation","SchSupplies","Clothing","Food","sports","lessons","comm_grps","tutoring","tuition"
"2004",5145034,2007,0,0,0.480769230769231,2.88461538461538,NA,0,0,0,0,0
"2005",5145035,2007,0,0,0.576923076923077,3.84615384615385,NA,0.384615384615385,0,0,0,0
"2008",5154044,2007,4.80769230769231,0,0.961538461538462,5.76923076923077,NA,0,0,0,0,0
"2009",5154045,2007,5.76923076923077,0,0.865384615384615,3.84615384615385,NA,0,0,0,0,0
"2010",5154046,2007,3.84615384615385,2.88461538461538,0.961538461538462,5.76923076923077,NA,0,0,0,0,0
"2014",5170041,2007,28.8461538461538,9.61538461538461,4.80769230769231,28.8461538461538,NA,13.4615384615385,0,0,0,0
"2015",5170042,2007,7.69230769230769,0.961538461538462,0.961538461538462,13.4615384615385,NA,0,0.769230769230769,0,0,0
"2017",5170185,2007,7.69230769230769,0,3.84615384615385,7.69230769230769,NA,0,0,0,0,0
"2018",5171032,2007,5.76923076923077,7.69230769230769,1.92307692307692,9.61538461538461,NA,0,0,0,0,211.538461538462
"2019",5177033,2007,0,0,1.34615384615385,9.61538461538461,NA,0,0,0,0,0
"2020",5177035,2007,9.61538461538461,0,1.34615384615385,9.61538461538461,NA,0,0,0,0,0
"2025",5182043,2007,48.0769230769231,3.84615384615385,1.92307692307692,3.84615384615385,NA,3.84615384615385,0,0,0,0
"2026",5182044,2007,3.84615384615385,5.76923076923077,3.84615384615385,5.76923076923077,NA,3.84615384615385,0,0,0,0
"2027",5182045,2007,3.84615384615385,5.76923076923077,5.76923076923077,5.76923076923077,NA,3.84615384615385,0,0,0,0
"2028",5182046,2007,7.69230769230769,9.61538461538461,0,4.03846153846154,NA,0,0,0,0,0
"2029",5182047,2007,7.69230769230769,9.61538461538461,0,5.76923076923077,NA,5.76923076923077,0,0,0,0
"2030",5182048,2007,3.84615384615385,5.76923076923077,3.84615384615385,5.76923076923077,NA,5.76923076923077,0,0,0,0
"2031",5199035,2007,19.2307692307692,86.5384615384615,3.84615384615385,19.2307692307692,NA,0,23.0769230769231,0,0,0
"2034",5219035,2007,5.76923076923077,19.2307692307692,1.92307692307692,19.2307692307692,NA,3.84615384615385,0,0,0,0
"2035",5219193,2007,9.61538461538461,48.0769230769231,1.92307692307692,19.2307692307692,NA,0,0,0,0,0
"2040",5234031,2007,5.76923076923077,0,1.34615384615385,19.2307692307692,NA,0,0,0,0,0
"2041",5241172,2007,3.84615384615385,0,1.15384615384615,7.69230769230769,NA,0,0,0,0,0
"2043",5264031,2007,5.76923076923077,19.2307692307692,7.69230769230769,19.2307692307692,NA,3.84615384615385,3.84615384615385,9.61538461538461,0,0
"2044",5264032,2007,5.76923076923077,19.2307692307692,5.76923076923077,13.4615384615385,NA,5.76923076923077,3.84615384615385,1.92307692307692,0,0
"2053",5287193,2007,3.84615384615385,0,0.769230769230769,5.76923076923077,NA,2.88461538461538,0,0,0,0
"2057",5292043,2007,5.76923076923077,0,0.865384615384615,3.84615384615385,NA,0,0,0,0,0
"2063",5299050,2007,6.73076923076923,1.44230769230769,1.44230769230769,5.76923076923077,NA,0.576923076923077,0.961538461538462,0,0,0
"2064",5299055,2007,7.69230769230769,0,0,0,NA,0,0,0,0,0
"2065",5299056,2007,1.73076923076923,0,1.15384615384615,1.92307692307692,NA,0.961538461538462,0,0,0,0
"2066",5299057,2007,1.73076923076923,0,0.961538461538462,1.92307692307692,NA,0.961538461538462,0,0,0,0
"2067",5299058,2007,2.30769230769231,1.92307692307692,0.961538461538462,1.15384615384615,NA,0,0,0,0,0
"2073",5305036,2007,11.5384615384615,0,1.34615384615385,5.76923076923077,NA,3.84615384615385,0,0,0,0
"2074",5305037,2007,11.5384615384615,0,3.84615384615385,15.3846153846154,NA,0,0,0,0,0
"2075",5306032,2007,3.84615384615385,0,0.961538461538462,5.76923076923077,NA,0,0,0,0,0
"2076",5306033,2007,9.61538461538461,0,0.961538461538462,7.69230769230769,NA,0,0.0961538461538462,0,0,0
"2078",5308033,2007,1.92307692307692,0,0.576923076923077,3.84615384615385,NA,3.375,3.375,0,0,0
"2080",5314035,2007,0,0,0.961538461538462,3.84615384615385,NA,0,0,0,0,0
"2081",5314036,2007,0,0,0.961538461538462,3.84615384615385,NA,0,0,0,0,0
"2082",5314037,2007,5.76923076923077,0,1.92307692307692,11.5384615384615,NA,0,0,0,0,0
"2083",5314038,2007,5.76923076923077,0,1.92307692307692,7.69230769230769,NA,0,0,0,0,0
"2085",5315036,2007,9.61538461538461,9.61538461538461,3.84615384615385,9.61538461538461,NA,0,0,0,0,0
"2086",5323030,2007,19.2307692307692,57.6923076923077,0.961538461538462,38.4615384615385,NA,9.61538461538461,4.61538461538461,0,0,0
"2087",5332041,2007,3.84615384615385,0,0.769230769230769,7.69230769230769,NA,3.84615384615385,1.92307692307692,0,0,0
"2088",5332042,2007,5.76923076923077,0,1.92307692307692,3.84615384615385,NA,0.384615384615385,0,0,4.61538461538461,0
"2089",5332043,2007,9.61538461538461,9.61538461538461,3.84615384615385,11.5384615384615,NA,0.961538461538462,0,0,0,0
"2090",5332187,2007,3.84615384615385,0,0.769230769230769,7.69230769230769,NA,0,0,0,0,0
"2096",5350039,2007,5.76923076923077,3.84615384615385,2.88461538461538,11.5384615384615,NA,0,2.88461538461538,0,0,0
"2100",5363034,2007,9.61538461538461,9.61538461538461,1.92307692307692,9.61538461538461,NA,0,0,0,0,0
"2101",5363035,2007,5.76923076923077,0,2.88461538461538,3.84615384615385,NA,0.769230769230769,0,0,0,0
"2103",5366049,2007,19.2307692307692,0,5.76923076923077,57.6923076923077,NA,3.84615384615385,0,0,0,0
"2106",5375030,2007,19.2307692307692,0,1.34615384615385,5.76923076923077,NA,1.92307692307692,0,0,0,0
"2108",5379033,2007,38.4615384615385,0,7.69230769230769,0,NA,0,0,0,0,0
"2110",5392038,2007,3.84615384615385,2.88461538461538,1.92307692307692,3.84615384615385,NA,0,3.11538461538462,0,0,0
"2111",5392039,2007,9.61538461538461,0,0.961538461538462,9.61538461538461,NA,0,0,0,0,0
