"","ID","educ","ed","year_meas"
"78966",8949001,5,"<12",1993
"78967",8949002,12,"12",1991
"78968",8949003,12,"12",1992
"78969",8950001,NA,NA,-1
"78970",8950002,NA,NA,-1
"78971",8950003,NA,NA,-1
"78972",8950004,NA,NA,-1
"78973",8951001,14,"13-15",1995
"78974",8952001,1,"<12",1991
"78975",8952002,2,"<12",1991
"78976",8952003,9,"<12",1991
"78977",8953001,12,"12",1995
"78978",8953002,12,"12",1995
"78979",8953003,NA,NA,-1
"78980",8953170,7,"<12",1990
"78981",8953171,9,"<12",1990
"78982",8953172,NA,NA,-1
"78983",8953173,NA,NA,-1
"78984",8954001,9,"<12",1995
"78985",8954002,14,"13-15",1995
"78986",8954003,NA,NA,-1
"78987",8954004,NA,NA,-1
"78988",8954005,NA,NA,-1
"78989",8954030,NA,NA,-1
"78990",8955001,6,"<12",1995
"78991",8955002,11,"<12",1995
"78992",8955003,11,"<12",1995
"78993",8955170,11,"<12",1995
"78994",8956001,8,"<12",1994
"78995",8956002,12,"12",1994
"78996",8956003,NA,NA,-1
"78997",8957001,NA,NA,-1
"78998",8957002,3,"<12",1995
"78999",8958001,6,"<12",1994
"79000",8958002,10,"<12",1994
"79001",8958003,7,"<12",1991
"79002",8958004,NA,NA,-1
"79003",8958005,NA,NA,-1
"79004",8958170,6,"<12",1993
"79005",8958171,12,"12",1993
"79006",8959001,11,"<12",1995
"79007",8959002,11,"<12",1995
"79008",8959003,NA,NA,-1
"79009",8960001,NA,NA,-1
"79010",8960002,NA,NA,-1
"79011",8960003,NA,NA,-1
"79012",8960004,NA,NA,-1
"79013",8960005,NA,NA,-1
"79014",8960030,NA,NA,-1
"79015",8961001,11,"<12",1995
"79016",8961002,11,"<12",1995
"79017",8961003,NA,NA,-1
"79018",8961030,NA,NA,-1
"79019",8962001,12,"12",1993
"79020",8962002,NA,NA,-1
"79021",8962003,NA,NA,-1
"79022",8962004,NA,NA,-1
"79023",8962005,NA,NA,-1
"79024",8962170,13,"13-15",1993
"79025",8963001,12,"12",1994
"79026",8963002,6,"<12",1994
"79027",8963003,12,"12",1994
"79028",8963004,NA,NA,-1
"79029",8963005,NA,NA,-1
"79030",8963006,NA,NA,-1
"79031",8964001,10,"<12",1994
"79032",8964002,5,"<12",1995
"79033",8964170,12,"12",1990
"79034",8965001,NA,NA,-1
"79035",8965002,12,"12",1995
"79036",8965003,NA,NA,-1
"79037",8965004,NA,NA,-1
"79038",8965005,NA,NA,-1
"79039",8965006,12,"12",1995
"79040",8965170,12,"12",1994
"79041",8966001,6,"<12",1995
"79042",8966002,6,"<12",1995
"79043",8966003,13,"13-15",1995
"79044",8966004,NA,NA,-1
"79045",8966005,NA,NA,-1
"79046",8966170,12,"12",1990
"79047",8967001,4,"<12",1995
"79048",8967002,7,"<12",1995
"79049",8967003,9,"<12",1995
"79050",8967004,NA,NA,-1
"79051",8967030,NA,NA,-1
"79052",8967031,NA,NA,-1
"79053",8967032,NA,NA,-1
"79054",8968001,9,"<12",1995
"79055",8968002,6,"<12",1995
"79056",8968003,2,"<12",1992
"79057",8968004,3,"<12",1992
"79058",8968005,2,"<12",1994
"79059",8968006,NA,NA,-1
"79060",8968007,NA,NA,-1
"79061",8968008,NA,NA,-1
"79062",8968030,NA,NA,-1
"79063",8968170,11,"<12",1995
"79064",8968171,2,"<12",1994
"79065",8968172,NA,NA,-1
"79066",8968173,NA,NA,-1
"79067",8968174,NA,NA,-1
"79068",8968175,NA,NA,-1
"79069",8968176,NA,NA,-1
"79070",8968177,11,"<12",1995
"79071",8968178,NA,NA,-1
"79072",8969001,12,"12",1991
"79073",8969002,12,"12",1991
"79074",8969003,NA,NA,-1
"79075",8970001,12,"12",1993
"79076",8970002,14,"13-15",1994
"79077",8970003,NA,NA,-1
"79078",8970170,12,"12",1993
"79079",8970171,14,"13-15",1994
"79080",8971001,4,"<12",1995
"79081",8971002,9,"<12",1995
"79082",8971170,16,"16",1995
"79083",8972001,7,"<12",1995
"79084",8972002,11,"<12",1995
"79085",8972003,12,"12",1991
"79086",8972170,NA,NA,-1
"79087",8973001,9,"<12",1991
"79088",8973002,16,"16",1991
"79089",8973003,12,"12",1991
"79090",8973004,NA,NA,-1
"79091",8973170,NA,NA,-1
"79092",8974001,2,"<12",1994
"79093",8974002,6,"<12",1994
"79094",8975001,9,"<12",1995
"79095",8975002,9,"<12",1995
"79096",8975003,NA,NA,-1
"79097",8975004,NA,NA,-1
"79098",8975005,9,"<12",1995
"79099",8975006,NA,NA,-1
"79100",8975007,NA,NA,-1
"79101",8975030,NA,NA,-1
"79102",8975227,12,"12",1993
"79103",8976001,1,"<12",1992
"79104",8976002,6,"<12",1992
"79105",8976003,11,"<12",1992
"79106",8976004,9,"<12",1992
"79107",8976005,8,"<12",1992
"79108",8976006,NA,NA,-1
"79109",8976007,NA,NA,-1
"79110",8976008,NA,NA,-1
"79111",8976009,NA,NA,-1
"79112",8976010,NA,NA,-1
"79113",8977001,11,"<12",1995
"79114",8977002,9,"<12",1995
"79115",8977003,NA,NA,-1
"79116",8977004,NA,NA,-1
"79117",8977005,NA,NA,-1
"79118",8977170,6,"<12",1992
"79119",8977171,12,"12",1993
"79120",8977172,6,"<12",1995
"79121",8978001,2,"<12",1995
"79122",8978002,2,"<12",1995
"79123",8978003,14,"13-15",1995
"79124",8978004,12,"12",1993
"79125",8978005,12,"12",1995
"79126",8978006,12,"12",1995
"79127",8978007,14,"13-15",1995
"79128",8978008,NA,NA,-1
"79129",8978009,NA,NA,-1
"79130",8978030,NA,NA,-1
"79131",8978170,12,"12",1995
"79132",8978171,13,"13-15",1995
"79133",8979001,17,">16",1995
"79134",8979002,17,">16",1995
"79135",8979030,NA,NA,-1
"79136",8980001,4,"<12",1994
"79137",8980002,4,"<12",1995
"79138",8981001,11,"<12",1995
"79139",8982001,9,"<12",1995
"79140",8982002,12,"12",1995
"79141",8982003,NA,NA,-1
"79142",8982030,NA,NA,-1
"79143",8982170,9,"<12",1995
"79144",8982171,10,"<12",1995
"79145",8982172,NA,NA,-1
"79146",8983001,17,">16",1995
"79147",8983002,12,"12",1995
"79148",8984001,17,">16",1990
"79149",8984002,5,"<12",1990
"79150",8985001,7,"<12",1994
"79151",8985002,12,"12",1994
"79152",8985003,9,"<12",1994
"79153",8985004,NA,NA,-1
"79154",8985005,NA,NA,-1
"79155",8986001,NA,NA,-1
"79156",8986002,12,"12",1995
"79157",8986003,12,"12",1995
"79158",8986004,4,"<12",1995
"79159",8986005,6,"<12",1995
"79160",8986006,12,"12",1995
"79161",8986030,NA,NA,-1
"79162",8986170,13,"13-15",1995
"79163",8987001,11,"<12",1995
"79164",8987002,12,"12",1995
"79165",8987003,13,"13-15",1994
"79166",8987004,13,"13-15",1994
"79167",8987005,15,"13-15",1994
"79168",8987006,15,"13-15",1995
"79169",8987007,16,"16",1995
"79170",8987021,16,"16",1995
"79171",8987030,NA,NA,-1
"79172",8987170,14,"13-15",1995
"79173",8988001,12,"12",1991
"79174",8988002,12,"12",1992
"79175",8988003,NA,NA,-1
"79176",8988004,NA,NA,-1
"79177",8988005,NA,NA,-1
"79178",8989001,15,"13-15",1995
"79179",8989002,12,"12",1995
"79180",8989003,16,"16",1994
"79181",8989004,10,"<12",1995
"79182",8989005,NA,NA,-1
"79183",8989170,11,"<12",1990
"79184",8990001,9,"<12",1992
"79185",8990002,NA,NA,-1
"79186",8991001,3,"<12",1990
"79187",8991002,6,"<12",1990
"79188",8992001,9,"<12",1995
"79189",8992002,12,"12",1995
"79190",8992021,17,">16",1995
"79191",8993001,8,"<12",1995
"79192",8993002,9,"<12",1995
"79193",8993003,14,"13-15",1995
"79194",8993004,NA,NA,-1
"79195",8993170,NA,NA,-1
"79196",8994001,14,"13-15",1995
"79197",8994002,13,"13-15",1995
"79198",8994003,NA,NA,-1
"79199",8994030,NA,NA,-1
"79200",8995001,8,"<12",1995
"79201",8995002,11,"<12",1995
"79202",8995003,12,"12",1995
"79203",8995030,NA,NA,-1
"79204",8995170,12,"12",1993
"79205",8995171,NA,NA,-1
"79206",8996001,NA,NA,-1
"79207",8996002,2,"<12",1990
"79208",8996003,NA,NA,-1
"79209",8996004,NA,NA,-1
"79210",8996005,NA,NA,-1
"79211",8996006,NA,NA,-1
"79212",8996007,NA,NA,-1
"79213",8996008,14,"13-15",1990
"79214",8997001,12,"12",1995
"79215",8997002,12,"12",1995
"79216",8997003,11,"<12",1995
"79217",8997004,NA,NA,-1
"79218",8998001,13,"13-15",1995
"79219",8998002,12,"12",1995
"79220",8998003,NA,NA,-1
"79221",8998004,NA,NA,-1
"79222",8999001,3,"<12",1992
"79223",8999002,16,"16",1992
"79224",8999003,12,"12",1992
"79225",9000001,6,"<12",1995
"79226",9000002,8,"<12",1995
"79227",9000003,14,"13-15",1995
"79228",9000004,15,"13-15",1995
"79229",9000005,13,"13-15",1995
"79230",9001001,16,"16",1995
"79231",9001002,12,"12",1995
"79232",9001003,NA,NA,-1
"79233",9001004,NA,NA,-1
"79234",9002001,16,"16",1995
"79235",9002002,16,"16",1995
"79236",9003001,4,"<12",1995
"79237",9003002,17,">16",1995
"79238",9003003,14,"13-15",1995
"79239",9003004,13,"13-15",1995
"79240",9003005,13,"13-15",1995
"79241",9003006,NA,NA,-1
"79242",9003007,NA,NA,-1
"79243",9003008,NA,NA,-1
"79244",9003009,NA,NA,-1
"79245",9003010,NA,NA,-1
"79246",9003030,NA,NA,-1
"79247",9003031,NA,NA,-1
"79248",9003032,NA,NA,-1
"79249",9004001,NA,NA,-1
"79250",9004002,NA,NA,-1
"79251",9004003,6,"<12",1993
"79252",9004004,6,"<12",1992
"79253",9004005,NA,NA,-1
"79254",9004006,NA,NA,-1
"79255",9004007,6,"<12",1995
"79256",9004008,12,"12",1995
"79257",9004170,NA,NA,-1
"79258",9004171,NA,NA,-1
"79259",9004172,NA,NA,-1
"79260",9004173,NA,NA,-1
"79261",9005001,14,"13-15",1995
"79262",9005002,14,"13-15",1995
"79263",9006001,NA,NA,-1
"79264",9007001,13,"13-15",1993
"79265",9007002,14,"13-15",1993
"79266",9007003,15,"13-15",1992
"79267",9007004,12,"12",1993
"79268",9008001,3,"<12",1992
"79269",9008002,12,"12",1992
"79270",9008003,15,"13-15",1992
"79271",9008004,12,"12",1992
"79272",9008005,NA,NA,-1
"79273",9009001,13,"13-15",1994
"79274",9009002,12,"12",1994
"79275",9009003,12,"12",1994
"79276",9009004,NA,NA,-1
"79277",9009005,12,"12",1994
